DL comb,DL MIMO,DL BW,DL Unk A,DL Unk B,DL Unk C,UL comb,UL MIMO,UL BW,UL Unk A,UL Unk B,UL Unk C
3-42C_n28_n77,2;4,30;100,1;2,2;2,0;1,3_n77,1,100,2,2,1
3-42C_n28_n77,2;4,30;100,1;2,2;2,0;1,3_n28,1,20,1,2,0
3_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257,1,100,None,None,None
1-3-8_n257G,2;2,100;100,4;4,1;1,0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3-8_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3-42_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
1-28-42_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3-8_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3-42_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-28-42_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-42C_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
3-28-42_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-28-42_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-42C_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
8_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
28-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
28-42C_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
28_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,8_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-3_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,8_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
3-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
28-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,1_n257I,1;1;1;1,100;100;100;100,None;None;None;None,None;None;None;None,None;None;None;None
3_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257I,1;1;1;1,100;100;100;100,None;None;None;None,None;None;None;None,None;None;None;None
8_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,8_n257I,1;1;1;1,100;100;100;100,None;None;None;None,None;None;None;None,None;None;None;None
28_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,28_n257I,1;1;1;1,100;100;100;100,None;None;None;None,None;None;None;None,None;None;None;None
1-3-28-42C_n77,4,100,2,2,1,28_n77,1,100,2,2,1
1-3-28-42C_n257,2,100,4,1,0,28_n257,1,100,None,None,None
1-3-28-42C_n77,4,100,2,2,1,3_n77,1,100,2,2,1
1-3-28-42C_n257,2,100,4,1,0,3_n257,1,100,None,None,None
1-3-42C_n28_n77,2;4,30;100,1;2,2;2,0;1,3_n77,1,100,2,2,1
1-3-42C_n28_n77,2;4,30;100,1;2,2;2,0;1,3_n28,1,20,1,2,0
1-3-28-42C_n77,4,100,2,2,1,1_n77,1,100,2,2,1
1-3-28-42C_n257,2,100,4,1,0,1_n257,1,100,None,None,None
1-3-42C_n28_n77,2;4,30;100,1;2,2;2,0;1,1_n77,1,100,2,2,1
1-3-42C_n28_n77,2;4,30;100,1;2,2;2,0;1,1_n28,1,20,1,2,0
1-3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28-42_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28-42_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3-42C_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-3_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
1-8_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
1-28-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-28-42C_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-28_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28-42_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3-42C_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-3_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-8_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-28-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-28-42C_n257G,2;2,100;100,4;4,1;1,0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-28_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-42_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
1-42C_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,1_n257G,1;1,100;100,None;None,None;None,None;None
3-8_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,8_n257G,1;1,100;100,None;None,None;None,None;None
3-28-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
3-28-42C_n257G,2;2,100;100,4;4,1;1,0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
3-28_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
3-8_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-28-42_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-28-42C_n257G,2;2,100;100,4;4,1;1,0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-28_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-42_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
3-42C_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257G,1;1,100;100,None;None,None;None,None;None
28-42_n257I,2;2;2;2,100;100;100;100,4;4;4;4,1;1;1;1,0;0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
28-42C_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257G,1;1,100;100,None;None,None;None,None;None
1-3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,8_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,28_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-3-8_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
1-3-28_n257H,2;2;2,100;100;100,4;4;4,1;1;1,0;0;0,3_n257H,1;1;1,100;100;100,None;None;None,None;None;None,None;None;None
