DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
7_n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];7_n78;[1];[100];[2];[2];[1]
7C_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
7C_n5;[2];[30];[1];[2];[0];7_n5;[1];[20];[1];[2];[0]
7C_n66;[4];[25];[2];[2];[0];7_n66;[1];[40];[1];[2];[0]
7C_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
12-30_n66;[4];[20];[2];[2];[0];30_n66;[1];[30];[1];[2];[0]
12-30_n66;[4];[25];[2];[2];[0];30_n66;[1];[40];[1];[2];[0]
12-66_n66;[4];[20];[2];[2];[0];66_n66;[1];[30];[1];[2];[0]
12-66_n66;[4];[25];[2];[2];[0];66_n66;[1];[40];[1];[2];[0]
12-30_n66;[4];[20];[2];[2];[0];12_n66;[1];[30];[1];[2];[0]
12-30_n66;[4];[20];[2];[2];[0];12_n66;[1];[30];[1];[2];[0]
12-30_n66;[4];[25];[2];[2];[0];12_n66;[1];[40];[1];[2];[0]
12-66_n66;[2];[20];[2];[2];[0];12_n66;[1];[30];[1];[2];[0]
12-66_n66;[4];[20];[2];[2];[0];12_n66;[1];[30];[1];[2];[0]
12-66_n66;[4];[25];[2];[2];[0];12_n66;[1];[40];[1];[2];[0]
12_n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];12_n66;[1];[40];[1];[2];[0]
12_n66_n66;[2, 4];[40, 25];[1, 2];[2, 2];[0, 0];12_n66;[1];[20];[1];[2];[0]
12_n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];12_n78;[1];[100];[2];[2];[1]
12_n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];12_n66;[1];[40];[1];[2];[0]
12_n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];12_n78;[1];[100];[2];[2];[1]
13-66_n66;[4];[20];[2];[2];[0];66_n66;[1];[30];[1];[2];[0]
13-66_n66;[4];[25];[2];[2];[0];66_n66;[1];[40];[1];[2];[0]
13-66_n66;[4];[20];[2];[2];[0];13_n66;[1];[30];[1];[2];[0]
13-66_n66;[4];[25];[2];[2];[0];13_n66;[1];[40];[1];[2];[0]
13_n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];13_n78;[1];[100];[2];[2];[1]
25-25_n78;[4];[100];[2];[2];[1];25_n78;[1];[100];[2];[2];[1]
25-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
25-66_n78;[4];[100];[2];[2];[1];25_n78;[1];[100];[2];[2];[1]
29-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
30-66_n5;[2];[30];[1];[2];[0];66_n5;[1];[20];[1];[2];[0]
30-66_n66;[4];[25];[2];[2];[0];66_n66;[1];[40];[1];[2];[0]
30-66_n5;[2];[30];[1];[2];[0];30_n5;[1];[20];[1];[2];[0]
30-66_n66;[4];[25];[2];[2];[0];30_n66;[1];[40];[1];[2];[0]
66-66_n5;[2];[10];[1];[2];[0];66_n5;[1];[10];[1];[2];[0]
66-66_n5;[2];[10];[1];[2];[0];66_n5;[1];[10];[1];[2];[0]
66-66_n5;[2];[30];[1];[2];[0];66_n5;[1];[20];[1];[2];[0]
66-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
66-66_n78;[4];[100];[2];[2];[1];66_n78;[1];[100];[2];[2];[1]
66-66_n66;[4];[25];[2];[2];[0];66_n66;[1];[40];[1];[2];[0]
66_n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];66_n78;[1];[100];[2];[2];[1]
66_n66_n78;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];66_n66;[1];[40];[1];[2];[0]
66_n78_n78;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];66_n78;[1];[100];[2];[2];[1]
66C_n71;[2];[30];[1];[2];[0];66_n71;[1];[20];[1];[2];[0]
n5_n66_n78_n78;[2, 2, 4, 4];[30, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n78;[2];[100];[2];[2];[1]
n5_n66_n78_n78;[2, 2, 4, 4];[30, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n78;[2];[60];[2];[2];[0]
n5_n66_n78_n78;[2, 2, 4, 4];[30, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n66;[1];[20];[1];[2];[0]
n5_n66_n78_n78;[2, 2, 4, 4];[30, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n5;[1];[20];[1];[2];[0]
n66_n66_n78_n78;[2, 2, 4, 4];[40, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n78;[2];[100];[2];[2];[1]
n66_n66_n78_n78;[2, 2, 4, 4];[40, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n78;[2];[60];[2];[2];[0]
n66_n66_n78_n78;[2, 2, 4, 4];[40, 40, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n66;[1];[20];[1];[2];[0]
n66_n71_n78_n78;[2, 2, 4, 4];[40, 30, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n78;[2];[100];[2];[2];[1]
n66_n71_n78_n78;[2, 2, 4, 4];[40, 30, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n78;[2];[60];[2];[2];[0]
n66_n71_n78_n78;[2, 2, 4, 4];[40, 30, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n71;[1];[20];[1];[2];[0]
n66_n71_n78_n78;[2, 2, 4, 4];[40, 30, 80, 100];[1, 1, 2, 2];[2, 2, 2, 2];[0, 0, 0, 1];n66;[1];[20];[1];[2];[0]
2-7-7_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
2-7-7_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
2-7-7_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
2-7-7_n5;[2];[30];[1];[2];[0];7_n5;[1];[20];[1];[2];[0]
2-7-7_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
2-7-7_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
2-7-7_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
2-7C_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
2-7C_n5;[2];[10];[1];[2];[0];7_n5;[1];[10];[1];[2];[0]
2-7C_n5;[2];[30];[1];[2];[0];7_n5;[1];[20];[1];[2];[0]
2-7C_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
2-7C_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
2-7C_n78;[4];[100];[2];[2];[1];7_n78;[1];[100];[2];[2];[1]
2-66-66_n5;[2];[10];[1];[2];[0];66_n5;[1];[10];[1];[2];[0]
2-66-66_n5;[2];[10];[1];[2];[0];66_n5;[1];[10];[1];[2];[0]
2-66-66_n5;[2];[30];[1];[2];[0];66_n5;[1];[20];[1];[2];[0]
