DL comb;DL MIMO;DL BW;DL Unk A;DL Unk B;DL Unk C;UL comb;UL MIMO;UL BW;UL Unk A;UL Unk B;UL Unk C
n25_n77;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n25;[1];[40];[1];[2];[0]
n25_n71;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
n25_n71;[4, 2];[25, 30];[2, 1];[2, 2];[0, 0];n71;[1];[20];[1];[2];[0]
n25_n71;[2, 2];[40, 30];[1, 1];[2, 2];[0, 0];n25;[1];[20];[1];[2];[0]
n25_n71;[4, 2];[25, 30];[2, 1];[2, 2];[0, 0];n25;[1];[40];[1];[2];[0]
n25_n48;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n48;[1];[100];[2];[2];[1]
n25_n48;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n48;[2];[100];[2];[2];[1]
n25_n48;[4, 4];[25, 100];[2, 2];[2, 2];[0, 1];n25;[1];[40];[1];[2];[0]
n41_n41;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[1];[100];[2];[2];[1]
n41_n41;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[2];[100];[2];[2];[1]
n41_n48;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n48;[2];[100];[2];[2];[1]
n41_n66;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n66;[1];[20];[1];[2];[0]
n41_n66;[4, 2];[100, 40];[2, 1];[2, 2];[1, 0];n66;[1];[20];[1];[2];[0]
n41_n66;[4, 4];[100, 25];[2, 2];[2, 2];[1, 0];n66;[1];[40];[1];[2];[0]
n41_n71;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n71;[1];[20];[1];[2];[0]
n41_n77;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n77;[1];[100];[2];[2];[1]
n41_n77;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n77;[2];[100];[2];[2];[1]
n41_n66;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n41;[1];[100];[2];[2];[1]
n41_n66;[4, 2];[100, 40];[2, 1];[2, 2];[1, 0];n41;[1];[100];[2];[2];[1]
n41_n66;[4, 4];[100, 25];[2, 2];[2, 2];[1, 0];n41;[1];[100];[2];[2];[1]
n41_n71;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n41;[1];[100];[2];[2];[1]
n41_n71;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n41;[2];[100];[2];[2];[1]
n41_n77;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[1];[100];[2];[2];[1]
n41_n77;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[2];[100];[2];[2];[1]
n41_n48;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[2];[100];[2];[2];[1]
n41C;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[1];[100];[2];[2];[1]
n41C;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n41;[2];[100];[2];[2];[1]
n48_n48;[2, 4];[80, 100];[2, 2];[2, 2];[0, 1];n48;[2];[100];[2];[2];[1]
n48_n48;[2, 4];[80, 100];[2, 2];[2, 2];[0, 1];n48;[2];[50];[2];[2];[0]
n48_n66;[4, 2];[100, 40];[2, 1];[2, 2];[1, 0];n66;[1];[20];[1];[2];[0]
n48_n66;[4, 4];[100, 25];[2, 2];[2, 2];[1, 0];n66;[1];[40];[1];[2];[0]
n48_n71;[4, 2];[100, 30];[2, 1];[2, 2];[1, 0];n71;[1];[20];[1];[2];[0]
n48_n77;[4, 4];[100, 100];[2, 2];[2, 2];[1, 1];n77;[2];[100];[2];[2];[1]
n48_n66;[4, 2];[100, 40];[2, 1];[2, 2];[1, 0];n48;[1];[100];[2];[2];[1]
